sentence_count,english_word,non_english_word,CC,DT-PDT,IN,JJ,JJR,JJS,MD,NN,NNS,NNP,NNPS,RB2,RBR,RBS,VB,VBD-VBN,VBG,VBP-VBZ,other_tags,word_count,td_idf,unique,score,essay_wo_stopwords
7,167,7,4,16,15,8,0,0,0,27,7,7,0,11,0,0,7,21,3,15,34,88,8.293327441376944,80,2.5,setting author shortcut effected performance strength tremendously whether hill heat barren landscape three took toll joe kurmaskie lack water depleted energy well flat road repalced short rolling hill hill tough thing pas since joe drained energy overcame exhaustion building came view wiped sweat eye make sure mirage tried get excited believed last burst energy manouvered hill authour overcame problem ne faced even though difficult seems written piece exaggrate important keep going want give winston churchill said success final failure fatal courage take continues count believe @ person2 agrees
6,95,0,3,13,10,8,0,0,4,10,3,1,0,7,3,0,8,2,2,7,14,44,5.448287147173035,35,1.0,feature setting affect cyclist much cyclist riding hot desert meaning need lot cold water keep hydrated longer ride hot sun sweat likely get dehydrated riding rain snow could possibly slow also would cold muscle might get stiff able move fast setting affect cyclist much
7,140,1,5,10,17,11,0,0,4,33,3,2,0,5,2,0,7,7,7,6,23,74,6.259199557314693,50,2.5,many feature affected cyclist heat lack water cyclist drinking lot water throughout story end little water left eased past trying keep balance dehydrated state show prepared enough water trip yosemite without water would die heat wide ring dried sweat circled shirt growing realization could drop heat stroke state @ caps1 danger enough water system feature water heat affected throughout story enough water could make lose sweat heat making lose even sweat cause extreme heatstroke
5,83,1,4,15,12,3,0,0,0,18,5,0,0,7,0,0,1,6,0,4,9,40,5.224079975415731,32,1.5,feature setting affected cyclist many way initially cyclist went road big snake middle made keep cation unease furthermore desert nothing around gave cyclist abandoness help trouble finally cyclist greatly relieved see bait store people feature setting greatly affected cyclist ride
1,72,2,3,8,9,7,0,0,1,7,5,9,0,4,0,0,2,11,0,2,6,39,5.29380979425919,35,1.0,feature setting rough road ahead exceed posted speed limit joe kurmaksie greatly affect cyclist put many hardship probably could avoided old cotagers told path thought right hard get right place feature setting described flat road replaced short rolling hill
7,123,3,5,22,15,7,0,0,3,21,7,6,0,5,0,0,7,8,3,6,11,59,5.772737089572469,45,1.5,essay exceed posted speed limit author joe kurmaskie us feature setting affect cyclist cyclist affected feature see setting dessert several mile water road lot hill cyclist could affected seeing dessert scenary change wahile look one scene hour could start get tired bored everything cause drossy bored also cyclist water none fountain cold water water dessert could make dehydrate faint
6,101,4,3,14,13,7,0,1,1,22,5,9,0,4,0,0,3,6,2,3,12,53,6.351070471430606,47,2.0,many different characteristic setting determine outcome event im story rough road ahead exceed posted speed limit cyclist journey affected weather relouded thing heat extreme thing showed case detened reading maximum level ability also time labes place greatly affect cyclist lastly type road amount ground cover affect performance overall setting determining factor journey life
9,103,3,4,13,13,10,0,0,1,15,5,2,0,9,0,0,4,3,2,11,14,52,6.161759786244947,45,2.0,setting story affect cyclist many way since riding california desert always feel hot always constant thirst addition area riding appears quite desolate find nothing old abondored building find anyone people car sign modern civilization cause feel little unnerved something happened nobody would know especially prevelent become dehydrated way cyclist much affected setting
5,91,0,1,13,18,3,1,0,2,15,5,7,0,2,1,0,3,4,3,5,9,44,5.374541704991319,32,1.0,story rough road ahead @ person1 feature setting affect cyclist many way one way setting affect cyclist desert cyclist drank water example text state hitting water bottle pretty regularly traveling high desert california june drink water desert forest go cycling aware setting around affect
7,86,4,2,14,9,4,0,0,0,19,5,5,0,3,1,0,3,8,3,2,12,49,6.2319897125467625,45,2.0,feature setting affect cyclist first cyclist followed old codger advice get yosemite national park advice use didnt help end next tarlike substance oozed thoot going water terrain changed short rolling hill wasnt helping bike better lastly tumble weed crossed path ridiculously large snake slowed road block setting affected cyclist
2,53,0,2,7,8,2,0,0,1,14,2,0,0,4,0,0,1,3,0,3,6,25,3.5711614383133026,19,1.5,feature setting affect cyclist lack water date information rolling hill date information would probably got water town empty almost empty like ghost town cyclist said
1,33,1,4,6,2,2,0,0,0,7,1,0,0,1,0,0,2,0,2,4,3,15,3.5812576447538316,15,0.5,cyclist couple thing racing wind blowing there problem follow traffic law ride right side road
7,125,4,7,10,11,6,0,0,0,26,6,5,0,6,0,0,6,21,2,4,20,66,7.33716680072428,61,2.0,exceed posted speed limit rough setting harzardous thing death defying heat cyclist endure pain dehydration determination given bad direction almost caused life travelling desert claimed temperature @ num1 also cyclist ration water ghost town character passed used nature skill learned began suck pebble take mind thirst us saliva help refresh throat throughout adventure everything kept young man getting water whenever water faster survived ever take shortcut
3,59,4,3,8,11,1,0,0,0,15,2,0,0,1,0,0,1,4,2,5,10,28,4.4594997407568755,24,1.0,example setting affecting cyclist lock water ghost town eliterat frind water e tar like substance come tasted like battery left go rough road travel fast leanes condition road
6,114,1,1,16,19,9,1,0,1,18,5,4,0,8,1,0,4,12,2,1,13,53,6.611191782920935,48,2.0,cyclist hard time geting yosemite national park sun middle june hot cyclist became dehydrated faster would cooler day pumped handle old rusted water pump said water felt somewhere neighborhood two hundred degree cyclist also deal lot short rolling hill much difficult bike flat road top everything else road bad condition watch rock road
9,184,4,5,23,16,12,0,0,2,40,6,0,0,13,0,0,11,6,5,21,28,96,7.893201201641115,76,3.0,cyclist story first confident accepting old men help seem suspect anything wrong first start way men directed seem going water supply store first land mark ghost town exactly supposed next town hit anything could replenish diminishing water supply start feel troubled however told next town pressed scenery make drastic change flat road becoming hill sun beating hotter really look like desert tumbleweed even go past cyclist continues despite dehydrated next thing come along old juice building almost seems mark water keep however last see shop get water canging scenery sends cyclist confidence worry hopelessness lastly relief
1,39,1,4,3,4,3,0,0,1,3,0,0,0,5,0,0,3,3,0,3,8,15,3.1419338953338936,12,1.0,well would put like weather everything weather make tired upset easy angre make upset stress
12,163,8,8,27,20,16,0,0,7,25,10,1,0,6,0,0,11,3,4,15,18,86,6.850048273196309,61,2.5,feature setting affect cyclist two way way pysical mental pysical way feature affect cyclist terrain road long wiredy could wear cyclist could also become physically tired incline hill steep gravity egausting temperature also crusal factor cyclist pysical ability nobody want feel like sauna bike riding cyclist also attracted mentally terrain look deserted anything like desert byciclist instintaniously think dehydration death people see dead animal bone would think could die see vulture circling would get afraid think death worse thing knowing thing place time setting affect cyclist
6,87,2,4,12,8,3,0,0,1,17,1,6,0,5,0,0,6,7,5,1,13,44,5.363597310340314,37,2.0,setting story grveling cyclist riding along sun beginning beat cyclist began sweat due heat thus drank water cyclist experiencing major heat sweat dehydration california desert grveling place especially june luckily cyclist come camp found fresh food water would eventually continue way yosemite national park
8,138,2,2,16,15,8,1,0,0,19,7,4,0,7,0,0,3,16,2,8,32,70,6.872425987058057,58,2.5,cyclist travelling yosemite national park come across many feature area affect first take direction old guy know anything change map never leave porch first affect positive way thought good shortcut yosemite however affect later came negative turned shortcut never existed another feature affected wasted setting desert like area heat made harder ride bike also drank lot water later resulted becoming dehydrated positive affect found bait shop rehydrated got new direction
9,137,1,3,16,23,16,1,0,1,24,6,5,0,4,0,0,3,5,4,15,16,71,6.028242825202289,51,1.0,feature setting affect cyclist many way setting dessert common knowledge know going hot dry hot cyclist need water getting dehydrated low water dry mouth get dry @ caps2 dessert see wild sometime dangerous animal story see ridiculously @ caps1 diamondbrock snake believe venomous @ caps2 extreme heat dessert realizes chance dropping heatstroke @ caps2 writer said dessert short rolling hill rough road ahead would leave worn cyclist terrain cyclist way affect
5,96,0,1,15,14,10,0,0,1,17,5,1,0,2,0,0,2,6,2,6,14,48,5.398168010003126,34,1.0,feature setting affect cyclist many different way one example hot sun beating made thirsty another feature rough road wore cyclist made tired last example old juice factory picture refreshing cup juice made cyclist feel like giving thought would die dehydration reason feature setting affect cyclist many different way
1,16,4,0,3,2,2,0,0,0,5,1,1,0,0,0,0,2,1,0,2,2,12,3.017424045609784,11,1.0,essay mshan writes rough rodes timit cyclist overcome reach @ caps1 gole
5,84,3,2,11,6,9,0,0,1,12,2,0,0,5,2,0,2,1,2,14,18,34,3.9693230753378583,23,0.0,understanding realitic mode reason setting affect setting book good setting book might pretty good setting understable trying today good setting make realitic read wont thrown mode story set usually book ups down chase mode
2,44,0,1,7,6,1,0,0,3,6,0,0,0,1,0,0,3,6,2,1,7,19,3.2639142280910183,15,1.0,setting story affected cyclist making dehydrated could lead heatstroke could drop heatstroke show hot feeling bad could dropped heatstroke
7,158,0,6,22,22,11,0,0,5,30,2,0,0,15,0,0,7,13,2,9,14,74,7.170138869619945,60,2.5,terrain cyclist journey greatly affect example first terrain experienced hilly rather flat soothing author stated rode morning strong leg smile face show energized happy however reader predict journey remain joyful cyclist basically desert summer extremely hot cyclist experience hilly terrain sucked life body especially water left cyclist said sometimes life feel cruel emphasizing cyclist mood changed enthusiastic tired forlorn change mood terrain connected real life obstacle include person must persevere strong overcome cyclist finally
7,124,2,6,23,15,6,0,0,1,33,5,0,0,3,0,0,3,13,2,3,13,65,6.421476248010319,47,2.0,feature story great effect cyclist one feature setting effect cyclist heat first story say pine tree cooled cyclist eventually forest turned desert heat poured make hard cycle another feature effected cyclist lack water moved away beginning point cyclist drinking lot water needed refill water brown hot cyclist take lack water plus heat formed one giant obstacle potentialy could killed great determination cyclist got troubling time
11,209,2,11,24,27,8,2,0,8,35,9,1,0,14,2,0,12,16,1,14,27,94,8.019603758533881,75,2.5,narrator story go tough journey insisting hope challenge physical pain despair relief developed setting take place example taking advice old men campsite way desert california almost anywhere else journey could much better could gotten reliable advice place town mile mile apart also one point reach snake road could symbolize decision go affect outcome trip perhaps decision already made take advice stranger better yet use irony continues becomes dehydrated flat land turn hilly happen could successful healthy trip setting men story necessary plot line humour posse city example would get lost stranded therefore would story
6,74,0,2,13,8,4,0,0,1,15,4,0,0,3,0,0,3,5,0,7,9,38,5.355471122983897,33,1.0,setting story change many time start area river pine tree cyclist arrives ant town pounded hot sun along hilly road much water left cyclist us energy get town could get something drink setting made cyclist journey hard one
3,82,2,5,12,8,6,0,0,1,9,5,3,0,5,0,0,3,2,3,10,12,37,5.379124897578187,36,1.5,feature setting affect story exceed posted speed limit morning everyone still sleep wake morning something pull first plase think old crazy thinking place need fixing house falling apart leaf see wide bunch hill inconclusion would never riding
4,71,1,3,12,7,3,0,0,1,13,4,0,0,1,0,0,1,2,2,10,13,33,4.728567715282563,27,1.0,setting effect cyclist desert water doesnt know going old men porch gave wrong direction lost desert cyclist find power keep moving find help along way find another old man offer direction say map
5,129,2,3,17,16,10,0,0,1,28,5,1,0,7,0,0,5,5,4,10,19,63,7.068180192303447,57,2.0,setting story discouraged biker much follows advice elderly men start journey notice one sight building car structure kind us tone word describe thing say water bottle contained tantalizing sip describes exhaust hard journey getting describes intense heat inthe desert california pedaling one long crippling hill terrain make rideeasy factor weather rolling hill shortage water take tall flat terrain cool day would first fine
6,59,1,2,10,7,5,0,0,2,6,5,0,0,0,0,0,5,3,1,6,8,31,4.649478193211679,27,1.5,feature setting affect cyclist alot hot sun beating make sweat make thirsty bumpy rood hill make work harder abandoned place make lose hope faced obstacle would affected way believe human would
6,122,2,7,20,15,6,0,0,1,21,7,8,0,3,0,0,3,5,6,14,13,64,5.549130186703114,39,2.0,feature setting affect cyclist feature setting nature affect cyclist wearing cyclist going city yosemite guy gave short cut shortcut hill heat lack water @ caps1 describes saying wiped sweat eye make sure mirage tried get excited @ caps1 excited building @ caps1 might get water also @ caps1 wiped sweat eye meaning hot outside @ caps1 sweating losing water therefore feature setting affect cyclist
7,154,1,7,20,12,6,2,0,6,27,9,1,0,5,1,2,6,0,5,17,30,72,6.729138934383167,53,2.0,three important feature setting effect cyclist ground traveling town pass availability water ground cyclist riding important rougher terrain hill energy must use le distance travel @ person1 riding fine must travel rolling hill consume energy ehausts water cause dividing hope approach town hope increase soon fade due realization town unable giving relief pump water taste like battery acid hope diminishes see bait tackle shop know make get recover three feature effect cyclist
4,68,2,2,15,7,5,0,0,0,15,3,0,0,4,0,0,2,6,1,5,5,37,5.208435841007773,33,1.0,story rough road ahead exceed posted limit setting affected cyclist middle desert summer cyclist low water old men gave wrong direction mainly old guy thought dy cyclist survives heat season riding probably bring another water botlle nextime
2,50,2,1,10,9,3,1,0,0,10,3,0,0,3,0,0,0,5,0,1,6,25,4.3378782816831585,23,1.0,feature setting affect cyclist like road bad bump made much harder also took lot strength also neighborhood two hundre degree become road arore bunch hill
11,206,0,11,25,21,18,0,0,2,36,5,7,0,4,0,0,5,33,5,1,35,102,8.61475756536684,83,3.0,story many different setting affected author many different way beginning journey came across ghost town reacted feature setting humor hope chuckled checked water supply moved still hope would end safe right place next setting abandoned shed water pump fork rode grew worried saw near town still sight sight troubling feature next setting caught eye desperate devastated point tumble weed crossed path ridiculously large snake rough terrain middle desert little water reached abandoned @ caps1 factory hope lost planning death going die bird would pick clean @ caps2 reached fish camp relieved overwhelming urge seek gary wilber kiss buy bait overjoyed overwhelmed survived
7,239,4,9,25,29,19,0,1,0,44,8,9,0,9,0,1,9,10,7,21,45,124,9.685080065605014,107,3.0,ghost town exactly inviting place cyclis trunning low water supply rough road ahead exceed speed limit cyclist affected many way surrounding setting starting warm day sun bright start good thing mood still fresh happy expression play face move speaks sun beginning beat expressing remorse listening old men led shortcut along road come first let ghost town one ramshackle shop several rusty pump corral hold lamest male @ caps1 try pump water corral get battery acid flavor forced continue onward little left drink affect mood pity anger men put predicament end relieved though come gary @ caps2 fish camp place working sink full cold water say overwhelming urge seek @ organization1 kiss buy bait thankfulness expressed men even know light end long dark exhausting tunnel
6,74,2,1,8,6,8,0,0,0,15,4,11,0,3,0,0,0,11,4,4,3,44,4.99905332620683,31,1.5,feature setting affect cyclist hard arrived first town author example rough road ahead exceed posted speed limit road author ridding rough @ caps1 example flat road replaced short rolling hill road hill rough water bottle contained tontalizing sip @ caps1 much water really hard
7,107,2,0,18,15,5,0,0,6,24,2,2,0,7,0,0,6,1,4,6,14,56,5.573711800789375,39,1.0,feature selling effect cyclist lot one factor would effect cyclist would heat also factor pobably suffering lack water probably really hot seeing one cut middle nowhere look like mile another feature setting would probably effect cyclist thought @ month1 car around next turn see around next turn know coming cyclist could also thinking next town show
11,181,0,3,30,20,7,1,1,1,41,7,5,0,12,1,0,5,19,5,5,19,95,8.051421829079798,75,2.5,setting put great deal stress cyclist biggest issue face weather cyclist traveling high desert @ location1 june riding bike day soon going run water thought could drink water drank water feeling somewhere neighborhood two hundred degree weather hot humid help cyclist throughout journey another factor setting affected cyclist terrain flat road replaced short rolling hill main problem cyclist faced change terrain played fact weather cooperate hill made cyclist work harder therefore use energy luckily terrain positive affect cyclist well stone found ground helped keep mind thirst many factor setting negatively positively affected cyclist throughout adventure
8,168,7,3,16,22,8,1,0,0,39,9,5,0,11,0,0,4,14,6,4,33,94,8.332821403705044,84,2.5,narration rough road ahead solo cyclist encounter several challenge throughout story change environment directly affect completion journey health narrator make way yosemite national park none old men first encounter environment acknowledges deserve need water text state huting water pretty regularly high desert california june disappointed truck stop water supply pump adequate concumption forcing link elsewhere quench thirst next explenced rolling hill exsercising energy made way everyone still need water spend lost quickness thought crippling dyhydration distracted wer came challenge making bate shop heat beat unmercifully change environment challenged heath created obstraction nearly deterred goal
6,69,3,0,11,8,1,0,0,0,16,2,1,0,3,1,0,2,12,2,3,11,38,5.47066875101847,34,2.0,setting affected cyclist lot one way heat got hot becoming dehydrated kept drinking water didnt left another reason road turned hill made use energy finally help hadnt seen sign living creature except snake @ caps1 setting affected cyclist
8,185,7,5,22,25,16,1,0,2,40,7,12,0,8,0,0,7,8,7,15,18,100,8.229013303666193,81,3.0,feature setting exceed posted speed limit affect main character cyclist cyclist biking high desert california june naturally infereal dry making water delicacy cyclist passing ghost town pump release tarlike substance followed brackish water runningout precious water surrounding landscape lonely hill tumbleweed snake inspire confidence fact cyclist feel l cald drop heat stroke gorgeous day june find old grape juice factory longer service causing anxiousness dispare l experience similar l wat walking state park @ date1 freezing desolate landscape snow covered tree made feel never warm similar cyclist environment made feel he wald die dehydration seen setting short story affect cyclist
7,137,3,4,16,21,9,0,0,1,26,9,4,0,5,0,0,2,13,3,10,17,66,6.9580529651764484,56,2.0,setting affected cyclist fact one want near water tired pedaling time place affected greatly cool breeze air june california middle flat desert sense part civilization get water quote old timer left confines porch since carter office helped realize taking advice direction old people go anywhere bad idea flat road replaced short rolling hill quote show terrail feature affected cyclist furthermore cyclist realivingly found civilization running water
5,89,1,3,7,8,5,0,0,0,14,3,3,0,5,0,0,6,9,0,7,20,39,5.534538830299684,34,1.0,story exceed posted speed limit author joe kurmaskie tell many thing go get example stop asks direction yosemite state park get lost town next example came rock road get water form old rusted pump really water left water bottle
7,153,6,5,20,19,9,0,0,0,26,3,2,0,11,0,0,5,16,7,10,26,81,7.656154978641757,70,2.0,think feature setting affected cyclist terrain flat road replaced short rolling hill show warm trobled change terrain also fell alone toiled point tumbleweed crossed path also though ghost town summer time rattled around dry honeycomb detorating brain felt slowly dying also though losing sun great impact wiped face make sure seeing mirage hope author also want u hope keep going even though thing dont look good keep moving foward never look back alway positive take advanage surrounding message author try give
5,77,2,3,10,6,8,0,0,2,11,2,1,0,3,0,0,3,9,1,4,16,36,5.046240974663507,31,2.0,heat dry flat feature setting effected cyclist cyclist driving desert noticed hot would become dehydrated quickley also dry started get nervous thirsty flat ground model nothing around help cyclist made scared story also metions ghost town
5,129,19,8,16,18,6,0,0,3,27,10,0,0,5,0,0,10,5,5,12,23,65,6.574109460497172,57,2.0,feature setting effect cyclist way auther started talking sound beginning story picture look like he cecilla ssing ceoos story goo continue tie read sound like enjoying ride niuse bumpy road sparkes bor counter tirst he sacting time sec add perso mic could hou old timer know thou tailoring around save goo take advice goo could end line nidsnes transitin califend feres could let therefore dehydrated
8,115,4,2,14,12,9,0,0,2,16,7,5,0,10,0,0,8,12,1,1,25,56,5.53563605457343,40,1.0,story exceed posted speed limit joe kurmaskie many thing effected cyclist water really good water drink tryed drop two flavor battery acid wasnt able drink water battery acid could made sick also unstable road bike made thing hard rough road ahead ride unstable ground hard two example water rough road made feature setting deffinitly effect cyclist
4,81,4,1,12,14,4,0,0,0,18,3,4,0,5,1,0,2,4,0,8,9,45,5.377599097938832,35,1.0,essay rough road ahead exede posted speed many featutres setting affect cyclist first cyclist go river wich wount find later journey go along journey heat lack water start affect also find water fountain pours hot water flavor long since shut cyclist affected many feature setting
3,45,1,2,7,6,3,0,0,1,8,1,0,0,2,0,0,1,5,1,2,7,20,3.8857233521491095,20,1.5,feature setting affect cyclist road rough go pot could spin commission water trouble sad tried deep two flavor battery acid
6,106,1,3,11,16,6,0,0,1,24,2,4,0,4,0,0,3,3,4,11,17,58,6.532023528938973,50,2.0,cyclist mostly affected lack water beginning ride cyclist confident striving reach joy @ location1 longs cool pine rushing river @ num1 later cyclist reach rough terrain start feeling exhaustion depletes water supply bit relief later come upon long climb hill see shut juice factory almost seeming like put tease destination fill relief pride knowing would survive strenuous journey
5,61,0,2,10,7,6,0,0,1,10,3,0,0,2,0,0,4,6,0,0,10,30,4.619674695643688,26,1.0,setting effected cyclist great way snake blocked pathway hi short water supply made hard continue felt could drop heatstroke environment information old man made ride hard continue setting big effect
2,16,0,0,5,2,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,1,7,1.9801150101552534,6,1.5,setting affected cyclist rode condition rode messed
6,103,4,7,13,12,11,0,1,1,14,3,1,0,11,1,0,2,12,3,1,14,49,5.611047548163402,40,2.0,cyclist well prepaired adventure however hot enuff change senary old men told take difficult path tire setting changed worst nearly powered devastating hill dehydration slowly creeping well nearly packed enuff water supply change would regret later hill steep endless sun hot mercilous mankind even worse change setting affected cyclist
6,104,2,1,13,10,3,3,0,2,19,0,11,0,4,0,0,7,9,4,4,17,57,6.328106997544358,48,1.0,setting affect anyone everyone case happened cyclist since june happened pretty outside causing cyclist lose body fluid due constant movement producing sweat make water must also pass come across sign read rough road ahead exceed posted @ caps1 since road harder drive riding bike across much easier anothe way setting affected cyclist snake blocked road thought diamondback
6,69,0,3,9,10,4,0,0,4,10,3,0,0,3,0,0,6,1,1,4,11,27,4.053788521512482,21,1.0,feature setting really effect cyclist condition example weather hot slow person perfect let person go regular speed road road bumpy slow smooth speed see really depend condition
12,126,4,3,18,12,7,0,1,0,22,2,7,0,11,0,0,7,10,1,9,22,61,6.499020821442244,49,1.0,setting affect author alot first california desert middle june hot make cyclist tired cool pine help much also get water long time narration state eased past trying keep balance dehydrated state kurmaskie @ num1 water cyclist dehydrated hurt biking skill like balance led stregth finally one around story cyclist know far go reached @ caps1 water also one help heat stroke
3,57,0,1,11,9,3,0,0,0,12,4,4,0,1,0,0,1,5,3,0,3,32,5.079797105151404,30,1.0,story exceed posted speed limit feature setting affected cyclist example cyclist traveled mile bike dealing weather desert little bit water tired cyclist faced many hard time trying travel bicycle one point another
18,335,1,9,56,42,26,0,0,10,70,5,2,0,21,4,1,15,25,13,14,24,161,9.04757725798143,106,3.0,setting story greatly affect cyclist attitude adversity path cyclist california desert dry hot first present major conflict story danger cyclist getting heatstake reading author say hitting water bottle pretty regularly setting cooler climate author would likely drank often would face dehydration trip would dangerous cyclist climate different another element setting affected cyclist terrain reading say flat road replaced short rolling hill rough road would take toil author body also mind riding author think water depleting 12 mph show attitude getting le le optimistic well keeping mind thirst thinking thirst would get thirsty small change terrain large impact author journey perhaps influential element setting isolation end story cyclist run another human point alone deal thirst fatigue setting urbanized area cyclist could gotten help people would made ordeal easy also known nobody going help played large role mental state author conclusion conflict story set setting setting hot rough isolated cyclist would easy journey story would exciting interesting different setting opinion would ruined story
11,144,3,3,19,14,13,2,1,1,27,7,2,0,1,1,0,6,16,7,4,24,77,7.562106025209884,65,1.0,feature setting affect cyclist many way cyclist going desert dry old dirty came fork sort one ramshackle shed several rusty pump corral hold largest mule greeted side troubling wanted u rusty water pump farlike substance oozed water seem like @ num1 degree two mile next section ride notice terrain changing flat road replaced short rolling hill made difficult cyclist ride bike would make cyclist tired cyclist moved getting tire water supply going try keep balance kept riding
1,143,7,1,20,20,8,1,0,6,24,7,3,0,9,0,0,10,6,4,9,22,68,5.826437662605547,43,2.0,setting place effect cyclist one dry cyclist would ridy haurst place dry like story say travelling high part california june meaning really hot dry second would animal dangerous cyclist riding place diamond back snake say text toiled point tumbleweed crossed path ridiculously larger skilt really look like adiamond back really one would really dangerous cyclist riding type dangerous place matter type setting surrandings effect cyclist bad place ride
3,54,4,0,12,7,4,1,0,1,10,3,0,0,2,0,0,4,1,1,6,6,30,4.663499479198294,26,1.0,feature setting affect cylceist ground would change terrian lot makeing difficult ride speed entire way also lack water made hard focus think feature setting affect cycleist people think worse actually
3,76,0,1,9,9,3,0,0,0,14,1,0,0,6,0,0,4,0,5,10,14,34,4.55735028509907,24,1.0,setting affect cyclist many way setting affect cyclist weather hot humid make sweat using energy body trying stay cool also setting affect cyclist water top sweating energy water refuel body make hard keep going
8,131,2,3,20,15,7,1,0,3,23,2,1,0,5,2,0,8,10,2,8,23,51,5.360426263120029,37,2.0,story cyclist going desert california reason limited water supply really hot would cause drink lot water started journey morning sun hot would middle day started get lot sonny sun come heat rider say sun beginning beat would help reader realize time day hot morning realize got afternoon realized started get dehydrated
7,101,3,2,17,15,9,0,0,2,22,3,3,0,6,0,0,3,11,1,1,9,54,6.025657673562689,43,1.0,wonderful feature setting dramatic affect author affect bad rather good first almost unbearable heat author limited amount water used lot smoltering temperature another feature great impeidence author well would lack water pump stumbed across snack lastly would tar like substance came pump author tried get water also brackish water tasted suspiciously like battery acid
7,143,5,2,19,23,7,0,0,3,30,2,5,0,6,0,0,9,5,5,12,21,74,6.571127395520496,54,3.0,cyclist traveling rough part california hot month june author describes part part journey traveling high desert california june heat sun much water around causing cyclist worry health little journey realizes bad could get find water soon author write growing realization could drop heatstroke cyclist run water sign life around begin feel @ month1 never make desert yosemite national park author describes going die bird would pick clean setting cyclist journey greatly affected percieved journey
8,130,3,2,22,23,5,0,0,3,20,9,2,0,7,0,0,6,6,2,15,11,60,5.318446356551622,36,1.5,feature setting affect cyclist biker campground california saying one could sense dusty place also story say town abandoned also tell u place cyclist diserted place without many people place stop story also talk snake road snake road tell one town desireted could tell town deserted around people goin town building snake road town must empty around street busy snake road
2,41,2,2,7,6,2,0,0,1,8,1,0,0,4,0,0,2,1,2,3,4,22,4.075054238810283,21,1.0,setting greatly affect cyclist one riding short rolling hill arround ridiculously large snake hot could suffer heatstroke minut yes author affected setting
